,firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
728740,SSE,2015-05-06, Apprentice Electrician,Current Employee,"Bristol, England, England",3,3.0,3.0,,3.0,4.0,3.0,x,r,r,A stepping stone employer.,"Extreme job prospects, loads of ways to develop my career.
Working for a larger company means a more broad range of works. 
Health and safety is always a massive part to play","There is no overtime compared to other contracting companies of our size.
The organisation and planning is poor.
Always criticism to the work force and never the office force."
810225,Virgin-Active,2018-09-12, Swim Teacher,Current Employee,,3,4.0,4.0,,2.0,5.0,3.0,o,o,o,Good Company,"Fun environment, the perfect part time job",Low pay however similar to other companies in the leisure industry
347160,IBM,2012-08-09, Anonymous Employee,"Former Employee, more than 5 years",,3,3.0,2.0,,3.0,4.0,2.0,v,r,r,Big and slow to respond to change,"Good pay, benefits, coworkers, work from home",Too much politics in management
788951,Unilever,2014-10-29, Industrial Engineer,"Current Employee, more than 1 year","Kansas City, KS",3,3.0,3.0,,4.0,3.0,3.0,v,v,r,Cool job,Work with amazing and different people,Work too many hours a day
413361,J-P-Morgan,2015-03-05, Associate,"Current Employee, more than 3 years",Hyderābād,5,,,,,,,v,v,v,Treats employees with respect. Provides equal opportunities to everyone. People friendly. Work Life Balance.,Top US Bank. Opportunity to work on mission critical systems. Opportunity to interact with Business. Structured Project Management practice.,Being a US based Business India gets a limited opportunities. No onsite travel.
644891,Oracle,2021-03-04, Staff Consultant,"Former Employee, more than 5 years",Bangalore,5,5.0,5.0,5.0,5.0,4.0,4.0,v,v,v,One of the Best place to work and enjoy your life with steady growthth,"1. No stress work place
2. Balanced work-life which allows you to prioritise what you love to do
3. Growth as an individual","1. Promotion and Salary increment pace is like slow
2. Few department have bad management politics
3. Less onsite opportunity for technical consultants"
568269,Microsoft,2013-11-28, Director,"Former Employee, more than 10 years","Redmond, WA",3,2.0,2.0,,3.0,4.0,2.0,v,r,r,Happy to hear the review system is being changed,Microsoft hires the best and the brightest.  Your colleagues and co-workers will challenge and inspire you.,The former review system resulted in an inability for teams to work together and led to unnecessary drama and challenges.
387949,IBM,2020-06-03, Chief Architect,"Current Employee, more than 8 years",,3,2.0,3.0,,3.0,4.0,2.0,x,o,r,"Large, slow moving company with some bright spots but current under new leadership","Large Company, great opportunity to gain a broad set of experiences","Highly political, lots of silos and kingdoms"
20337,American-Express,2019-10-30, Lead New Account Analyst,"Current Employee, more than 1 year","Gurgaon, Haryana, Haryana",4,4.0,4.0,,3.0,5.0,2.0,v,v,r,An average experience.,Culture and Environment is good. A lot of opportunities to expand horizon of your knowledge and improve skillset.,Leadership isn't that great. A lot of favouritism
636199,Oracle,2019-03-26, Anonymous Employee,Former Employee,,3,,,,,,,o,o,o,just ok,its has confined work environment,very slow work pace feels lost
66192,BNY-Mellon,2013-02-11, Client Service Manager,"Former Employee, more than 1 year","Manchester, England, England",2,1.0,3.0,,3.0,5.0,2.0,x,o,r,Staff engagement is a lie,"modern office, global international exposure.","long hours, high turnover of staff, old systems."
139272,Citi,2014-08-12, Systems Specialist II,"Former Employee, more than 3 years","San Antonio, TX",2,3.0,3.0,,1.0,3.0,1.0,x,x,r,IT is not the focus of this company and it never will be.,"If you plan on branching out into a focus that encompasses the financial world then this job may help.
Learn how a large global financial institution operates.",The company mainly hires Contractors to do most of their IT work so it's difficult to obtain an FTE position unless you've been working there for a minimum of 1 year.
97110,Bayer,2020-10-06, Student,Current Employee,Rabat,4,5.0,4.0,3.0,4.0,4.0,4.0,v,v,r,what,"good working environment
good salary
nice
what 
hello","stress
lack of evolution
i dont know
yeah
no"
